iter	Passed	Remaining
331	3286	4632
332	3297	4623
333	3307	4614
334	3317	4604
335	3328	4596
336	3338	4586
337	3347	4575
338	3356	4565
339	3368	4557
340	3381	4551
341	3392	4543
342	3403	4534
343	3412	4523
344	3425	4518
345	3439	4512
346	3452	4507
347	3469	4506
348	3480	4498
349	3491	4489
350	3503	4481
351	3513	4472
352	3525	4464
353	3541	4461
354	3552	4453
355	3563	4444
356	3575	4436
357	3586	4428
358	3601	4423
359	3609	4411
360	3619	4400
361	3629	4391
362	3639	4381
363	3649	4370
364	3658	4360
365	3669	4351
366	3677	4339
367	3688	4329
368	3698	4320
369	3707	4308
370	3718	4299
371	3728	4289
372	3738	4279
373	3747	4269
374	3756	4257
375	3766	4247
376	3776	4237
377	3787	4227
378	3796	4216
379	3806	4207
380	3816	4197
381	3828	4189
382	3839	4180
383	3848	4169
384	3859	4159
385	3867	4148
386	3878	4139
387	3888	4128
388	3896	4116
389	3907	4108
390	3916	4097
391	3925	4085
392	3934	4074
393	3944	4064
394	3955	4055
395	3964	4045
396	3974	4034
397	3984	4024
398	3995	4015
399	4005	4005
400	4015	3995
401	4023	3983
402	4032	3972
403	4042	3962
404	4052	3952
405	4063	3943
406	4072	3932
407	4082	3922
408	4092	3912
409	4101	3900
410	4108	3888
411	4117	3877
412	4127	3867
413	4136	3856
414	4144	3845
415	4154	3834
416	4163	3824
417	4173	3814
418	4182	3803
419	4192	3793
420	4201	3782
421	4210	3771
422	4220	3761
423	4229	3750
424	4238	3739
425	4249	3730
426	4258	3719
427	4267	3708
428	4275	3697
429	4286	3688
430	4295	3677
431	4305	3667
432	4315	3657
433	4324	3647
434	4333	3635
435	4342	3625
436	4352	3615
437	4362	3605
438	4372	3595
439	4381	3585
440	4391	3574
441	4401	3565
442	4411	3555
443	4421	3545
444	4430	3534
445	4441	3524
446	4451	3515
447	4461	3505
448	4472	3495
449	4480	3485
450	4488	3473
451	4498	3463
452	4507	3453
453	4516	3442
454	4527	3433
455	4536	3422
456	4547	3412
457	4556	3402
458	4565	3391
459	4574	3380
460	4583	3370
461	4592	3359
462	4601	3348
463	4610	3338
464	4619	3327
465	4627	3316
466	4637	3306
467	4646	3296
468	4656	3286
469	4666	3276
470	4674	3265
471	4684	3255
472	4693	3244
473	4703	3234
474	4711	3223
475	4720	3212
476	4730	3203
477	4740	3193
478	4751	3184
479	4760	3173
480	4772	3165
481	4781	3154
482	4791	3144
483	4801	3134
484	4813	3126
485	4823	3116
486	4834	3106
487	4843	3096
488	4852	3085
489	4862	3076
490	4872	3066
491	4881	3055
492	4891	3046
493	4904	3038
494	4916	3029
495	4929	3021
496	4941	3012
497	4967	3012
498	4980	3004
499	4990	2994
500	5000	2984
501	5010	2974
502	5018	2963
503	5028	2953
504	5037	2942
505	5048	2933
506	5062	2925
507	5071	2915
508	5081	2904
509	5092	2895
510	5101	2885
511	5110	2874
512	5120	2864
513	5128	2853
514	5133	2841
515	5142	2830
516	5152	2820
517	5161	2809
518	5169	2798
519	5179	2789
520	5189	2778
521	5202	2770
522	5216	2762
523	5227	2753
524	5237	2743
525	5247	2733
526	5256	2723
527	5265	2712
528	5274	2702
529	5284	2691
530	5293	2681
531	5303	2671
532	5318	2664
533	5327	2653
534	5341	2645
535	5351	2635
536	5363	2626
537	5371	2615
538	5381	2605
539	5390	2595
540	5403	2586
541	5415	2577
542	5426	2568
543	5437	2558
544	5445	2547
545	5455	2537
546	5463	2526
547	5474	2517
548	5483	2507
549	5493	2496
550	5503	2486
551	5514	2477
552	5526	2468
553	5535	2458
554	5546	2448
555	5556	2438
556	5564	2427
557	5574	2417
558	5587	2408
559	5597	2398
560	5607	2388
561	5616	2378
562	5626	2368
563	5634	2357
564	5644	2347
565	5651	2336
566	5660	2326
567	5669	2315
568	5677	2305
569	5685	2294
570	5694	2283
571	5702	2272
572	5711	2262
573	5720	2252
574	5732	2243
575	5746	2234
576	5758	2225
577	5772	2217
578	5782	2207
579	5791	2196
580	5801	2186
581	5811	2176
582	5822	2167
583	5833	2157
584	5844	2147
585	5853	2137
586	5862	2127
587	5872	2117
588	5882	2107
589	5891	2097
590	5900	2086
591	5910	2076
592	5921	2067
593	5931	2057
594	5947	2049
595	5958	2039
596	5971	2030
597	5989	2023
598	6001	2013
599	6013	2004
600	6026	1995
601	6037	1985
602	6049	1976
603	6064	1967
604	6072	1957
605	6084	1947
606	6096	1938
607	6104	1927
608	6114	1917
609	6125	1907
610	6133	1897
611	6144	1887
612	6155	1877
613	6167	1868
614	6177	1858
615	6188	1848
616	6199	1838
617	6208	1828
618	6219	1818
619	6228	1808
620	6238	1798
621	6246	1787
622	6257	1777
623	6273	1769
624	6284	1759
625	6295	1749
626	6305	1739
627	6315	1729
628	6325	1719
629	6335	1709
630	6345	1699
631	6353	1689
632	6362	1678
633	6374	1668
634	6389	1660
635	6402	1651
636	6412	1640
637	6422	1630
638	6431	1620
639	6441	1610
640	6450	1600
641	6461	1590
642	6470	1580
643	6481	1569
644	6489	1559
645	6500	1549
646	6510	1539
647	6521	1529
648	6532	1519
649	6541	1509
650	6550	1499
651	6558	1488
652	6569	1478
653	6579	1468
654	6588	1458
655	6599	1448
656	6610	1438
657	6619	1428
658	6628	1418
659	6637	1407
660	6648	1398
661	6657	1387
662	6666	1377
663	6676	1367
664	6685	1357
665	6696	1347
666	6706	1337
667	6759	1335
668	6808	1333
669	6819	1323
670	6845	1315
671	6856	1305
672	6866	1295
673	6875	1285
674	6885	1275
675	6896	1265
676	6905	1254
677	6914	1244
678	6924	1233
679	6932	1223
680	6941	1212
681	6949	1202
682	6958	1192
683	6967	1181
684	6976	1171
685	6986	1161
686	6996	1150
687	7005	1140
688	7015	1130
689	7024	1119
690	7032	1109
691	7040	1098
692	7050	1088
693	7059	1078
694	7068	1067
695	7080	1057
696	7090	1047
697	7103	1038
698	7120	1028
699	7134	1019
700	7153	1010
701	7165	1000
702	7179	990
703	7193	980
704	7204	970
705	7215	960
706	7226	950
707	7236	940
708	7248	930
709	7262	920
710	7274	910
711	7285	900
712	7301	890
713	7319	881
714	7330	871
715	7340	861
716	7350	850
717	7361	840
718	7373	830
719	7385	820
720	7395	810
721	7405	799
722	7415	789
723	7424	779
724	7434	769
725	7445	758
726	7454	748
727	7463	738
728	7474	727
729	7485	717
730	7495	707
731	7505	697
732	7514	686
733	7524	676
734	7534	666
735	7544	656
736	7556	645
737	7568	635
738	7580	625
739	7589	615
740	7600	605
741	7610	594
742	7619	584
743	7628	574
744	7639	563
745	7652	553
746	7663	543
747	7672	533
748	7685	523
749	7701	513
750	7717	503
751	7733	493
752	7746	483
753	7758	473
754	7769	463
755	7780	452
756	7792	442
757	7803	432
758	7814	422
759	7825	411
760	7836	401
761	7847	391
762	7857	381
763	7868	370
764	7877	360
765	7887	350
766	7901	339
767	7915	329
768	7926	319
769	7936	309
770	7945	298
771	7954	288
772	7965	278
773	7975	267
774	7985	257
775	7994	247
776	8003	236
777	8012	226
778	8021	216
779	8030	205
780	8044	195
781	8055	185
782	8065	175
783	8075	164
784	8084	154
785	8094	144
786	8102	133
787	8113	123
788	8123	113
789	8133	102
790	8142	92
791	8151	82
792	8159	72
793	8171	61
794	8179	51
795	8189	41
796	8201	30
797	8209	20
798	8223	10
799	8234	0
