iter	Logloss
0	0.6597428988
1	0.6305083295
2	0.6081247183
3	0.5882333338
4	0.5687489496
5	0.5508461771
6	0.5361835591
7	0.5225118179
8	0.5113762511
9	0.5003375744
10	0.4915181779
11	0.483308397
12	0.4746738477
13	0.4691624059
14	0.462578428
15	0.4594814024
16	0.4540493131
17	0.4494092778
18	0.446920525
19	0.4438906523
20	0.4400086471
21	0.4377511263
22	0.433933319
23	0.4317936419
24	0.4293510704
25	0.4258235181
26	0.4231961465
27	0.4198080591
28	0.4173440996
29	0.4154909014
30	0.4138501811
31	0.412481409
32	0.410756435
33	0.4094367854
34	0.4072393848
35	0.4054044288
36	0.4033710665
37	0.4024688918
38	0.4009702206
39	0.3996229605
40	0.3989002902
41	0.3973357476
42	0.396803529
43	0.3962476779
44	0.3951366324
45	0.3940470245
46	0.3931516933
47	0.392467573
48	0.3921736896
49	0.3912853292
50	0.3906018284
51	0.389450044
52	0.3888248922
53	0.3881991596
54	0.3875992141
55	0.3873482518
56	0.3851335254
57	0.3847073446
58	0.3838737448
59	0.3831924681
60	0.3824410521
61	0.382180809
62	0.3816673909
63	0.3810550768
64	0.380800333
65	0.380784241
66	0.3807831018
67	0.3803711244
68	0.3791329297
69	0.3775016028
70	0.3768864988
71	0.3760794562
72	0.3748956175
73	0.3747516496
74	0.3744456165
75	0.3734173423
76	0.3734166708
77	0.3731611069
78	0.3728282029
79	0.3723104466
80	0.3712090182
81	0.3709834989
82	0.370981701
83	0.370980945
84	0.3703370321
85	0.3697505855
86	0.3693373823
87	0.3676406871
88	0.3672699064
89	0.3671648915
90	0.3661860309
91	0.365877877
92	0.3653831782
93	0.3653307604
94	0.3644095944
95	0.3643461233
96	0.3635679936
97	0.363230694
98	0.3630336726
99	0.3628136373
100	0.3628136274
101	0.3623047303
102	0.3618603237
103	0.361246952
104	0.3609923199
105	0.3600537702
106	0.3596567493
107	0.359404171
108	0.3590022323
109	0.3584508165
110	0.3583884503
111	0.357376116
112	0.3567869223
113	0.3564208576
114	0.3563527176
115	0.3562698708
116	0.355872413
117	0.3558322476
118	0.35570469
119	0.3554548858
120	0.354893938
121	0.3548787808
122	0.3548782365
123	0.3547814783
124	0.3547709949
125	0.3547112061
126	0.3547102614
127	0.3543590315
128	0.3533526133
129	0.3529948512
130	0.352367314
131	0.3510446778
132	0.3510117542
133	0.350332324
134	0.3499654992
135	0.349964703
136	0.3497450073
137	0.3493681028
138	0.3491407183
139	0.348870555
140	0.3483543402
141	0.3482091683
142	0.3470989625
143	0.3469212813
144	0.3467050339
145	0.3465822206
146	0.3459929586
147	0.3453848998
148	0.3450512907
149	0.344718091
150	0.3447177507
151	0.3442953506
152	0.3437241993
153	0.3433061106
154	0.3431653636
155	0.3421650327
156	0.3418696612
157	0.3418426611
158	0.3418031417
159	0.3418027819
160	0.3406856199
161	0.3406067767
162	0.3405297801
163	0.3393951854
164	0.3391332528
165	0.3387928522
166	0.3384661619
167	0.3379570436
168	0.3379280881
169	0.3375518215
170	0.3371686588
171	0.3368158818
172	0.3363633012
173	0.3363631114
174	0.3363629408
175	0.335939531
176	0.3356973332
177	0.3350275051
178	0.3346627437
179	0.3342422003
180	0.3341553467
181	0.3339960714
182	0.3338303836
183	0.3333707031
184	0.3327464534
185	0.3324139869
186	0.3319924108
187	0.3311090722
188	0.3304704493
189	0.3302925098
190	0.3298687969
191	0.3293960266
192	0.3289137244
193	0.3283855983
194	0.3281298062
195	0.3274989535
196	0.3266504357
197	0.3260893633
198	0.3253438288
199	0.3248904756
200	0.3245732985
201	0.3243120504
202	0.3237917991
203	0.3232767526
204	0.3226379069
205	0.3222699062
206	0.321668119
207	0.321182356
208	0.3205537845
209	0.3202424448
210	0.3199221219
211	0.3194070526
212	0.3190977078
213	0.3186954886
214	0.3180019653
215	0.3173699814
216	0.3169367352
217	0.3160064585
218	0.315502255
219	0.315213159
220	0.3149286492
221	0.313559559
222	0.3128824437
223	0.3122233905
224	0.311525472
225	0.3112006217
226	0.3110003887
227	0.3106131728
228	0.3103196134
229	0.3095239386
230	0.3092408193
231	0.3090257047
232	0.3087704458
233	0.3084784385
234	0.3083007277
235	0.3079349321
236	0.3074441588
237	0.306848252
238	0.3065833052
239	0.3058120157
240	0.3056527809
241	0.3052248313
242	0.3046572623
243	0.3043132585
244	0.3040216707
245	0.3035936218
246	0.3027248524
247	0.3022596906
248	0.3020934992
249	0.3016115508
250	0.3015161852
251	0.3014093243
252	0.3010869346
253	0.3008061849
254	0.3004543774
255	0.2993108071
256	0.2991215823
257	0.2988810245
258	0.2986015436
259	0.2984159503
260	0.2982245531
261	0.2973926452
262	0.2970900032
263	0.2965796032
264	0.2964077225
265	0.296307068
266	0.2961270975
267	0.2954935416
268	0.2948493512
269	0.2943703642
270	0.2934727589
271	0.2928522202
272	0.292370042
273	0.292162947
274	0.2918686351
275	0.2914564911
276	0.290485465
277	0.290182118
278	0.2896558569
279	0.2892064509
280	0.288895667
281	0.2886323455
282	0.2882218362
283	0.2879208994
284	0.2876208438
285	0.2872590098
286	0.2871431971
287	0.2867174291
288	0.2864433767
289	0.2861508455
290	0.286055652
291	0.2851283701
292	0.2848891615
293	0.2841471434
294	0.2839196218
295	0.2836150123
296	0.2832133334
297	0.2830319201
298	0.2828228312
299	0.2824515983
300	0.281853508
301	0.2811897056
302	0.2809005193
303	0.2806025181
304	0.2804161894
305	0.2798758261
306	0.2796901427
307	0.2794140004
308	0.2788018767
309	0.2786252639
310	0.2784430408
311	0.2782610649
312	0.2781439399
313	0.2778520325
314	0.2775822321
315	0.2772838431
316	0.2769097098
317	0.2765235639
318	0.2763818211
319	0.2759996237
320	0.275666334
321	0.2753218245
322	0.2751623836
323	0.2747300587
324	0.2742782575
325	0.2740535417
326	0.2735650772
327	0.2732657929
328	0.2731149477
329	0.2728792936
330	0.2721125703
331	0.2720520147
332	0.2718960694
333	0.2716939684
334	0.2713435407
335	0.2711505287
336	0.2708984855
337	0.2706700717
338	0.2704572916
339	0.270207319
340	0.2698343705
341	0.269596415
342	0.2693370787
343	0.2691840306
344	0.269007525
345	0.2683972534
346	0.2679368517
347	0.2677095377
348	0.2673892738
349	0.2671554398
350	0.2667494495
351	0.2666595129
352	0.2663977934
353	0.265859544
354	0.2655089463
355	0.2653281536
356	0.2650126188
357	0.2645602092
358	0.2643644528
359	0.2642395816
360	0.2639689185
361	0.2638532128
362	0.2637016508
363	0.263401816
364	0.2629240688
365	0.2627645349
366	0.2625160174
367	0.2623929711
368	0.2622091003
369	0.2617122186
370	0.2614189751
371	0.2611410379
372	0.2608287738
373	0.2604902833
374	0.2603777354
375	0.2601186627
376	0.2597687708
377	0.2595166571
378	0.2592830338
379	0.2591385538
380	0.258825528
381	0.2584149801
382	0.2581126804
383	0.2579760084
384	0.2578118706
385	0.2575584539
386	0.257351846
387	0.2568342846
388	0.2564454192
389	0.2561366001
390	0.2559696046
391	0.2555708922
392	0.2553926298
393	0.2552091014
394	0.255165699
395	0.2549680191
396	0.2545707629
397	0.254366776
398	0.2540870779
399	0.2539645475
400	0.2534003025
401	0.2530235604
402	0.2525838407
403	0.2524227822
404	0.2522488211
405	0.2520549799
406	0.2517242508
407	0.2513711852
408	0.251223756
409	0.2510239231
410	0.2508519569
411	0.2506443527
412	0.250290338
413	0.25016724
414	0.2499691615
415	0.2497173884
416	0.2494504104
417	0.2492455751
418	0.2491202858
419	0.2487439853
420	0.2485866067
421	0.247892349
422	0.247205872
423	0.2469828057
424	0.2467995086
425	0.2465521313
426	0.2464563528
427	0.2461109967
428	0.2459134962
429	0.2456620399
430	0.2454842926
431	0.2454488824
432	0.2452939649
433	0.2450074313
434	0.2448156578
435	0.2445041539
436	0.2442218014
437	0.2439217658
438	0.243766306
439	0.2435841862
440	0.2433473627
441	0.2429884283
442	0.2429127954
443	0.2427788908
444	0.2425466233
445	0.2422788566
446	0.2419235803
447	0.241719339
448	0.241387872
449	0.2411230788
450	0.2409992243
451	0.2407735394
452	0.2404912277
453	0.2402340951
454	0.2401036158
455	0.2400444095
456	0.2396652831
457	0.2393457763
458	0.239193787
459	0.2390829399
460	0.2389415511
461	0.2387226161
462	0.2386410905
463	0.2383821695
464	0.2382470466
465	0.2381900132
466	0.2378179005
467	0.2375681521
468	0.2373922966
469	0.2370503065
470	0.2367823694
471	0.2362368691
472	0.2361543088
473	0.2360147474
474	0.2359488791
475	0.2355047185
476	0.2353000187
477	0.2348906062
478	0.2347688282
479	0.2341873783
480	0.2339233603
481	0.2335729936
482	0.2333180891
483	0.2331912635
484	0.2330421174
485	0.2329151743
486	0.2327670534
487	0.2327446074
488	0.2327356196
489	0.2326543253
490	0.2323939692
491	0.2323169929
492	0.2320953275
493	0.2317605874
494	0.2317313688
495	0.2315239301
496	0.2311079269
497	0.2310085189
498	0.230482492
499	0.2302427381
500	0.2301455189
501	0.2298279461
502	0.2296029412
503	0.2295162996
504	0.2293751531
505	0.2291392016
506	0.2290511318
507	0.2289767715
508	0.22876373
509	0.2284435296
510	0.2284011939
511	0.2281445879
512	0.2277760163
513	0.2269411755
514	0.2268798639
515	0.2268003131
516	0.2267167382
517	0.2266267921
518	0.2261567621
519	0.2260636186
520	0.2258112826
521	0.2255390281
522	0.2251858391
523	0.224771399
524	0.2245800893
525	0.2243174711
526	0.2241926561
527	0.2238079401
528	0.2236449267
529	0.2232610123
530	0.2230472486
531	0.2229814393
532	0.2226330517
533	0.2225059163
534	0.2222294252
535	0.2220670344
536	0.2220358505
537	0.2219692403
538	0.2219425274
539	0.2218095994
540	0.2216493476
541	0.2214751625
542	0.2214615316
543	0.2212965699
544	0.2210153414
545	0.2209020929
546	0.2207627839
547	0.2207069191
548	0.2205765546
549	0.2203604738
550	0.2202645696
551	0.2201674749
552	0.2200782167
553	0.219998787
554	0.2198535263
555	0.2195527677
556	0.2194706907
557	0.2193701407
558	0.2191283329
559	0.218913498
560	0.2187027741
561	0.2184450184
562	0.2184040924
563	0.2181073799
564	0.2180370511
565	0.2178962525
566	0.2178034684
567	0.2178028405
568	0.2174777941
569	0.2172091057
570	0.2169201764
571	0.2168901149
572	0.2166675088
573	0.2163203244
574	0.2159895665
575	0.2157936946
576	0.2152737367
577	0.2151227613
578	0.214939939
579	0.2146893752
580	0.2145143176
581	0.2143827369
582	0.21413351
583	0.2139086273
584	0.2137718588
585	0.2137098929
586	0.2136206913
587	0.2133964925
588	0.2130036934
589	0.2128971387
590	0.2127007685
591	0.212444262
592	0.2122298632
593	0.2121649701
594	0.2120577047
595	0.2119957761
596	0.2117740869
597	0.2116233667
598	0.2114238682
599	0.2113116497
600	0.2110726496
601	0.2109538438
602	0.2108407944
603	0.2107930301
604	0.2106470635
605	0.2105864357
606	0.2104647316
607	0.2102354647
608	0.2101041237
609	0.2099136101
610	0.2097354737
611	0.2096091364
612	0.2093694877
613	0.209294843
614	0.2091387414
615	0.2090269986
616	0.208925446
617	0.2086790747
618	0.2086170968
619	0.2084542073
620	0.2081476322
621	0.2075609121
622	0.2074154142
623	0.2073405868
624	0.2072713734
625	0.2071704138
626	0.2070317006
627	0.2069120114
628	0.2068724602
629	0.206744123
630	0.2065226031
631	0.2063098867
632	0.2062539256
633	0.2059775806
634	0.2058394752
635	0.2057531911
636	0.2053493524
637	0.2052729984
638	0.2051682035
639	0.2048315885
640	0.2047083522
641	0.2046209806
642	0.2041993679
643	0.2039885225
644	0.203869281
645	0.2037159932
646	0.2035854227
647	0.2034455783
648	0.2032722796
649	0.2032684384
650	0.2031485474
651	0.2031152901
652	0.2029394573
653	0.2028283832
654	0.2025674931
655	0.2022402919
656	0.2021335692
657	0.201996888
658	0.2018962528
659	0.2017074142
660	0.2017067051
661	0.2016752588
662	0.201493314
663	0.2011804387
664	0.2008356397
665	0.2003797184
666	0.2002527532
667	0.2000875055
668	0.2000255617
669	0.1999956587
670	0.1999079921
671	0.1998278191
672	0.1997059551
673	0.1994897316
674	0.1993516778
675	0.1992054363
676	0.1991312358
677	0.1990189212
678	0.1988679528
679	0.1985589316
680	0.1982540854
681	0.1980849955
682	0.1977829676
683	0.1975130614
684	0.1974541411
685	0.1972634165
686	0.1972301184
687	0.1971346013
688	0.1970019387
689	0.1969288078
690	0.1969271839
691	0.1968823219
692	0.1968219962
693	0.1967368026
694	0.1965581175
695	0.1962536319
696	0.1961912703
697	0.1959551768
698	0.1958987141
699	0.1958619139
700	0.1957701166
701	0.1957040907
702	0.1955646869
703	0.1951856289
704	0.1950997176
705	0.1947204457
706	0.1946358337
707	0.1943157679
708	0.1939654353
